graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,grp_size_2,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,8_cycle_size_str
10000.,False,15,3,3,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [5, 2, 7], [6, 2, 7, 0], [3, 6, 0], [4, 6, 0], [4, 1, 5, 0]]","[(0, 5), (1, 2), (2, 3), (3, 3), (4, 4), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,2,0,0,0,0
10001.,False,16,3,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [6, 2, 7], [3, 6, 0], [4, 6, 0], [4, 1, 5, 0]]","[(0, 5), (1, 2), (2, 3), (3, 3), (4, 4), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,1,0,0,0,0
10002.,False,15,2,3,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0], [5, 2, 6, 0]]","[(0, 5), (1, 3), (2, 2), (3, 3), (4, 4), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,1,0,0,0,0
10003.,False,16,2,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [6, 7, 0], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0], [5, 2, 6, 0]]","[(0, 5), (1, 3), (2, 2), (3, 3), (4, 4), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,1,0,0,0,0
10004.,False,15,3,4,False,False,[],0,"[[4, 7, 0], [6, 7, 0], [5, 2, 7, 0], [6, 2, 7], [4, 1, 7], [5, 1, 7, 0], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 2), (4, 4), (5, 3), (6, 5), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,2,0,0,0,0
10005.,False,15,3,3,False,False,[],0,"[[4, 7, 0], [5, 7, 0], [5, 2, 7], [6, 2, 7, 0], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 2), (4, 4), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,1,0,0,0,0
10006.,False,16,3,4,False,False,[],0,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [6, 2, 7], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 2), (4, 4), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,9,0,0,0,0,0
10007.,False,15,2,3,False,False,[],0,"[[3, 7, 0], [5, 7, 0], [5, 2, 7], [6, 2, 7, 0], [4, 1, 7, 0], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 3), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,2,0,0,0,0
10008.,False,16,2,4,False,False,[],0,"[[3, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [6, 2, 7], [4, 1, 7, 0], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 3), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,1,0,0,0,0
10009.,False,15,2,3,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 2, 7, 0], [6, 2, 7, 0], [4, 1, 7], [5, 1, 7, 0], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 4), (5, 3), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,5,3,0,0,0,0
10010.,False,16,2,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [6, 7, 0], [5, 2, 7, 0], [6, 2, 7], [4, 1, 7], [5, 1, 7, 0], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 4), (5, 3), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,2,0,0,0,0
10011.,False,16,2,3,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [5, 2, 7], [6, 2, 7, 0], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 4), (5, 4), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,1,0,0,0,0
10012.,False,17,2,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [6, 2, 7], [4, 1, 7], [5, 1, 7], [3, 6, 0], [4, 6, 0]]","[(0, 5), (1, 3), (2, 3), (3, 3), (4, 4), (5, 4), (6, 5), (7, 7)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,10,0,0,0,0,0
10013.,False,15,3,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [6, 7, 0], [5, 2, 7, 0], [4, 6, 0], [5, 6, 0], [4, 1, 6], [5, 1, 6]]","[(0, 5), (1, 3), (2, 2), (3, 2), (4, 4), (5, 4), (6, 5), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,1,0,0,0,0
10014.,False,15,3,4,False,False,"[5, 0]",2,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [4, 1, 7], [5, 1, 7], [6, 1, 7], [4, 6, 0], [5, 6, 0]]","[(0, 5), (1, 4), (2, 1), (3, 1), (4, 4), (5, 5), (6, 5), (7, 5)]","[[0, 1, 2, 3, 4, 5, 7, 6], [5, 4, 3, 2, 1, 0, 6, 7]]",4.0,0,"[0, 1, 2, 2, 1, 0, 6, 6]",4,8,0,0,0,0,0
10015.,False,15,3,4,False,False,[0],1,"[[4, 7, 0], [6, 7, 0], [5, 2, 7, 0], [4, 1, 7], [5, 1, 7, 0], [6, 1, 7], [4, 6, 0], [5, 6, 0]]","[(0, 5), (1, 4), (2, 2), (3, 1), (4, 4), (5, 4), (6, 5), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,2,0,0,0,0
10016.,False,16,3,4,False,False,[0],1,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [4, 1, 7], [5, 1, 7], [6, 1, 7], [4, 6, 0], [5, 6, 0]]","[(0, 5), (1, 4), (2, 2), (3, 1), (4, 4), (5, 5), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,9,0,0,0,0,0
10017.,False,16,3,4,False,False,[],0,"[[3, 7, 0], [5, 7, 0], [6, 7, 0], [5, 2, 7], [4, 1, 7, 0], [5, 1, 7], [6, 1, 7], [4, 6, 0], [5, 6, 0]]","[(0, 5), (1, 4), (2, 2), (3, 2), (4, 3), (5, 5), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,8,1,0,0,0,0
10018.,False,16,2,4,False,False,[],0,"[[3, 7, 0], [4, 7, 0], [6, 7, 0], [5, 2, 7, 0], [4, 1, 7], [5, 1, 7, 0], [6, 1, 7], [4, 6, 0], [5, 6, 0]]","[(0, 5), (1, 4), (2, 2), (3, 2), (4, 4), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,2,0,0,0,0
