graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str
100.,FALSE,8,3,3,FALSE,FALSE,[5],1,"[[3, 5, 0], [3, 1, 5], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 3), (4, 2), (5, 4)]","[[1, 0, 2, 3, 4, 5]]",2.0,"[0, 0, 2, 3, 4, 5]",5,2,1,0,0
101.,FALSE,9,2,3,FALSE,FALSE,[5],1,"[[3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5]]","[(0, 3), (1, 3), (2, 1), (3, 3), (4, 3), (5, 5)]","[[0, 1, 2, 4, 3, 5], [1, 0, 2, 3, 4, 5], [3, 4, 2, 0, 1, 5]]",8.0,"[0, 0, 2, 0, 0, 5]",3,4,0,0,0
102.,FALSE,9,3,4,FALSE,FALSE,[5],1,"[[3, 5, 0], [4, 5, 0], [3, 4, 0], [3, 1, 4]]","[(0, 3), (1, 2), (2, 1), (3, 4), (4, 4), (5, 4)]","[[0, 1, 2, 4, 3, 5]]",2.0,"[0, 1, 2, 3, 3, 5]",5,4,0,0,0
104.,FALSE,9,3,3,FALSE,FALSE,[5],1,"[[3, 5, 0], [3, 1, 5], [4, 1, 5, 0], [3, 4, 0]]","[(0, 3), (1, 3), (2, 1), (3, 4), (4, 3), (5, 4)]","[[1, 0, 2, 3, 4, 5]]",2.0,"[0, 0, 2, 3, 4, 5]",5,3,1,0,0
105.,FALSE,10,2,4,FALSE,FALSE,[5],1,"[[3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [3, 4, 0]]","[(0, 3), (1, 3), (2, 1), (3, 4), (4, 4), (5, 5)]","[[0, 1, 2, 4, 3, 5], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 3, 5]",4,5,0,0,0
106.,FALSE,8,3,3,FALSE,FALSE,[4],1,"[[3, 5, 0], [3, 1, 5], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 1), (3, 3), (4, 3), (5, 3)]","[[0, 1, 2, 5, 4, 3], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 4, 3]",4,2,1,0,0
107.,TRUE,8,3,2,FALSE,FALSE,[],0,"[[4, 2, 5, 0], [3, 1, 5, 0], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 2), (4, 3), (5, 3)]","[[1, 0, 2, 3, 4, 5], [0, 1, 2, 3, 5, 4], [4, 5, 3, 2, 0, 1]]",8.0,"[0, 0, 2, 2, 0, 0]",2,0,3,0,0
108.,FALSE,9,3,3,FALSE,FALSE,[],0,"[[4, 5, 0], [4, 2, 5], [3, 1, 5, 0], [4, 1, 5]]","[(0, 3), (1, 3), (2, 2), (3, 2), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 4, 4]",4,3,1,0,0
109.,FALSE,9,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 2, 5, 0], [3, 1, 5], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 2), (3, 3), (4, 3), (5, 4)]","[[1, 0, 2, 3, 4, 5]]",2.0,"[0, 0, 2, 3, 4, 5]",5,2,2,0,0
110.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [4, 2, 5], [3, 1, 5], [4, 1, 5]]","[(0, 3), (1, 3), (2, 2), (3, 3), (4, 4), (5, 5)]","[[1, 0, 2, 3, 4, 5]]",2.0,"[0, 0, 2, 3, 4, 5]",5,5,0,0,0
111.,FALSE,11,2,4,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [4, 2, 5], [3, 1, 5], [4, 1, 5], [3, 4, 0]]","[(0, 3), (1, 3), (2, 2), (3, 4), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 4, 4]",4,6,0,0,0
112.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [3, 1, 5], [4, 1, 5], [3, 2, 4, 0]]","[(0, 3), (1, 3), (2, 2), (3, 4), (4, 4), (5, 4)]","[[0, 1, 2, 4, 3, 5], [1, 0, 2, 3, 4, 5]]",4.0,"[0, 0, 2, 3, 3, 5]",4,4,1,0,0
113.,TRUE,9,2,2,TRUE,FALSE,[],0,"[[3, 2, 5, 0], [4, 2, 5, 0], [3, 1, 5, 0], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3)]","[[0, 2, 1, 3, 4, 5], [0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [1, 0, 2, 3, 4, 5], [3, 4, 5, 0, 1, 2]]",72.0,"[0, 0, 0, 0, 0, 0]",1,0,4,0,0
114.,FALSE,10,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [3, 2, 5], [4, 2, 5, 0], [3, 1, 5], [4, 1, 5, 0]]","[(0, 3), (1, 3), (2, 3), (3, 4), (4, 3), (5, 4)]","[[0, 1, 2, 5, 4, 3], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",12.0,"[0, 0, 0, 3, 4, 3]",3,3,2,0,0
115.,FALSE,11,2,3,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [3, 2, 5], [4, 2, 5], [3, 1, 5], [4, 1, 5]]","[(0, 3), (1, 3), (2, 3), (3, 4), (4, 4), (5, 5)]","[[0, 1, 2, 4, 3, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",12.0,"[0, 0, 0, 3, 3, 5]",3,6,0,0,0
116.,FALSE,12,2,4,FALSE,FALSE,[],0,"[[3, 5, 0], [4, 5, 0], [3, 2, 5], [4, 2, 5], [3, 1, 5], [4, 1, 5], [3, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 5), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 2, 4, 3, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",36.0,"[0, 0, 0, 3, 3, 3]",2,7,0,0,0
119.,FALSE,7,3,3,FALSE,FALSE,"[5, 0]",2,"[[1, 3, 5], [2, 4, 0]]","[(0, 3), (1, 2), (2, 2), (3, 2), (4, 2), (5, 3)]","[[0, 1, 4, 3, 2, 5], [5, 2, 1, 4, 3, 0]]",8.0,"[0, 1, 1, 1, 1, 0]",2,2,0,0,0
120.,FALSE,7,4,3,FALSE,FALSE,"[1, 5]",2,"[[2, 5, 0], [2, 4, 0]]","[(0, 3), (1, 2), (2, 3), (3, 1), (4, 2), (5, 3)]","[[2, 1, 0, 3, 4, 5]]",2.0,"[0, 1, 0, 3, 4, 5]",5,2,0,0,0
