graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,grp_size_2,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str
11.,True,4,3,2,False,False,"[4, 0]",2,[],"[(0, 2), (1, 1), (2, 1), (3, 1), (4, 3)]","[[0, 2, 1, 3, 4]]",2.0,0,"[0, 1, 1, 3, 4]",4,0,0,0
12.,False,5,2,3,False,False,[4],1,"[[3, 4, 0]]","[(0, 2), (1, 1), (2, 1), (3, 2), (4, 4)]","[[3, 1, 2, 0, 4], [0, 2, 1, 3, 4]]",4.0,0,"[0, 1, 1, 0, 4]",3,1,0,0
13.,False,5,3,3,False,False,"[3, 4]",2,"[[3, 4, 0]]","[(0, 2), (1, 1), (2, 1), (3, 3), (4, 3)]","[[0, 2, 1, 4, 3]]",2.0,0,"[0, 1, 1, 3, 3]",3,1,0,0
16.,True,5,3,2,False,False,[4],1,"[[3, 1, 4, 0]]","[(0, 2), (1, 2), (2, 1), (3, 2), (4, 3)]","[[1, 0, 2, 3, 4]]",2.0,0,"[0, 0, 2, 3, 4]",4,0,1,0
17.,False,6,2,3,False,False,[4],1,"[[3, 4, 0], [3, 1, 4]]","[(0, 2), (1, 2), (2, 1), (3, 3), (4, 4)]","[[1, 0, 2, 3, 4]]",2.0,0,"[0, 0, 2, 3, 4]",4,2,0,0
18.,True,6,2,2,False,False,[],0,"[[3, 2, 4, 0], [3, 1, 4, 0]]","[(0, 2), (1, 2), (2, 2), (3, 3), (4, 3)]","[[0, 1, 2, 4, 3], [0, 2, 1, 3, 4], [1, 0, 2, 3, 4]]",12.0,0,"[0, 0, 0, 3, 3]",2,0,2,0
19.,False,7,2,3,False,True,[],0,"[[3, 4, 0], [3, 2, 4], [3, 1, 4]]","[(0, 2), (1, 2), (2, 2), (3, 4), (4, 4)]","[[0, 1, 2, 4, 3], [0, 2, 1, 3, 4], [1, 0, 2, 3, 4]]",12.0,0,"[0, 0, 0, 3, 3]",2,3,0,0
21.,True,4,4,2,False,False,"[1, 4, 0]",3,[],"[(0, 2), (1, 2), (2, 1), (3, 1), (4, 2)]","[[1, 0, 3, 2, 4]]",2.0,0,"[0, 0, 2, 2, 4]",3,0,0,0
22.,False,5,3,3,False,False,"[1, 4]",2,"[[2, 4, 0]]","[(0, 2), (1, 2), (2, 2), (3, 1), (4, 3)]","[[2, 1, 0, 3, 4]]",2.0,0,"[0, 1, 0, 3, 4]",4,1,0,0
23.,False,6,2,3,False,True,[4],1,"[[2, 4, 0], [1, 3, 4]]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 4)]","[[0, 3, 2, 1, 4], [1, 0, 3, 2, 4]]",8.0,0,"[0, 0, 0, 0, 4]",2,2,0,0
25.,False,6,3,3,False,False,[4],1,"[[2, 4, 0], [2, 3, 0]]","[(0, 3), (1, 1), (2, 3), (3, 2), (4, 3)]","[[2, 1, 0, 3, 4]]",2.0,0,"[0, 1, 0, 3, 4]",4,2,0,0
26.,False,7,2,4,False,False,[4],1,"[[2, 4, 0], [3, 4, 0], [2, 3, 0]]","[(0, 3), (1, 1), (2, 3), (3, 3), (4, 4)]","[[0, 1, 3, 2, 4], [2, 1, 0, 3, 4]]",6.0,0,"[0, 1, 0, 0, 4]",3,3,0,0
27.,False,5,2,2,True,True,[],0,"[[2, 4, 1, 3, 0]]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]","[[0, 4, 3, 2, 1], [1, 2, 3, 4, 0]]",10.0,0,"[0, 0, 0, 0, 0]",1,0,0,1
28.,False,6,2,3,False,False,[],0,"[[2, 4, 0], [3, 1, 4, 0]]","[(0, 3), (1, 2), (2, 2), (3, 2), (4, 3)]","[[4, 3, 2, 1, 0]]",2.0,0,"[0, 1, 2, 1, 0]",3,1,1,0
29.,False,7,2,3,False,False,[],0,"[[2, 4, 0], [3, 4, 0], [3, 1, 4]]","[(0, 3), (1, 2), (2, 2), (3, 3), (4, 4)]","[[3, 2, 1, 0, 4]]",2.0,0,"[0, 1, 1, 0, 4]",3,3,0,0
30.,False,8,2,4,False,False,[],0,"[[2, 4, 0], [3, 4, 0], [3, 1, 4], [2, 3, 0]]","[(0, 3), (1, 2), (2, 3), (3, 4), (4, 4)]","[[0, 1, 2, 4, 3], [2, 1, 0, 3, 4]]",4.0,0,"[0, 1, 0, 3, 3]",3,4,0,0
31.,False,7,2,3,False,False,[],0,"[[2, 4, 0], [2, 1, 4], [3, 1, 4, 0]]","[(0, 3), (1, 3), (2, 3), (3, 2), (4, 3)]","[[0, 1, 4, 3, 2], [1, 0, 2, 3, 4]]",4.0,0,"[0, 0, 2, 3, 2]",3,2,1,0
32.,False,8,2,3,False,False,[],0,"[[2, 4, 0], [3, 4, 0], [2, 1, 4], [3, 1, 4]]","[(0, 3), (1, 3), (2, 3), (3, 3), (4, 4)]","[[0, 1, 3, 2, 4], [1, 0, 2, 3, 4], [2, 3, 0, 1, 4]]",8.0,0,"[0, 0, 0, 0, 4]",2,4,0,0
